Issue Type,Issue Key,Summary,Epic Name,Epic Link,Parent,Assignee,Sprint,Estimate (j),Depends On,Component
Epic,CONC,Épic 1 — Conception,Épic 1 — Conception,,,,,,,CONC
Story,CONC-1,Finalisation des diagrammes UML,,Épic 1 — Conception,,Dev Backend,Sprint 1 — Conception & Maquette (20 → 24 juil. 2026),2,,CONC
Sub-task,CONC-1-1,"Revue des diagrammes de cas d’utilisation, séquence, activité, classe",,,CONC-1,Dev Backend,Sprint 1 — Conception & Maquette (20 → 24 juil. 2026),1,,CONC
Sub-task,CONC-1-2,Validation croisée avec l’équipe et gel de la conception,,,CONC-1,Dev Backend,Sprint 1 — Conception & Maquette (20 → 24 juil. 2026),1,,CONC
Story,CONC-2,"Validation des cahiers des charges (Web, Mobile, Backend, IA)",,Épic 1 — Conception,,Dev Backend,Sprint 1 — Conception & Maquette (20 → 24 juil. 2026),1,,CONC
Sub-task,CONC-2-1,Lecture partagée et amendements,,,CONC-2,Dev Backend,Sprint 1 — Conception & Maquette (20 → 24 juil. 2026),1,,CONC
Epic,DES,"Épic 2 — Design, Maquette & Branding","Épic 2 — Design, Maquette & Branding",,,,,,,DES
Story,DES-1,"Design system Figma (tokens, composants, thèmes clair/sombre)",,"Épic 2 — Design, Maquette & Branding",,Designer,Sprint 1 — Conception & Maquette (20 → 24 juil. 2026),1,CONC-2,DES
Sub-task,DES-1-1,Variables couleurs (clair/sombre) + styles de texte (Poppins/Aptos) + composants de base,,,DES-1,Designer,Sprint 1 — Conception & Maquette (20 → 24 juil. 2026),1,,DES
Story,DES-2,"Maquette Web (landing + admin + partenaire, responsive, 2 thèmes)",,"Épic 2 — Design, Maquette & Branding",,Designer,Sprint 1 — Conception & Maquette (20 → 24 juil. 2026),2,DES-1,DES
Sub-task,DES-2-1,"Landing (hero, comparatif, fonctionnalités, pricing API, footer)",,,DES-2,Designer,Sprint 1 — Conception & Maquette (20 → 24 juil. 2026),1,,DES
Sub-task,DES-2-2,"Espaces Admin & Partenaire (dashboard, modules, états)",,,DES-2,Designer,Sprint 1 — Conception & Maquette (20 → 24 juil. 2026),1,,DES
Story,DES-3,"Maquette Mobile (onboarding, auth, écrans app, 2 thèmes)",,"Épic 2 — Design, Maquette & Branding",,Designer,Sprint 1 — Conception & Maquette (20 → 24 juil. 2026),1,DES-1,DES
